prov,latitude,longitude,source
gbif,-64.77,-64.05,gbif
gbif,-54.28,-36.5,gbif
gbif,-43.483,-70.8,gbif
gbif,-54.833,-68.566,gbif
gbif,-54.28,-36.3,gbif
gbif,-53.16666,-71,gbif
gbif,-54.8,-68.33333,gbif
gbif,-61.15,-54.7,gbif
gbif,-46.42,51.83,gbif
gbif,-54.5,-36.17,gbif
gbif,-53.06666,-68.45,gbif
gbif,-60.63,-45.65,gbif
gbif,-60.63,-45.58,gbif
gbif,-60.63,-45.5,gbif
gbif,-52.033333,-72.433333,gbif
gbif,-64.8,-63.98,gbif
gbif,-60.67,-45.63,gbif
gbif,-60.65,-45.77,gbif
gbif,-60.63,-45.9,gbif
gbif,-61.15,-55.4,gbif
gbif,-49.333333,70.333333,gbif
gbif,-51.75,-71.8,gbif
gbif,-54.02,-37.85,gbif
gbif,-61.17,-55.13,gbif
gbif,-46.41667,51.85,gbif
gbif,-46.45,51.71667,gbif
gbif,-60.65,-45.58,gbif
gbif,-60.67,-45.6,gbif
gbif,-51.466667,-71.25,gbif
gbif,-46.43,51.37,gbif
gbif,-54.3,-68.5,gbif
gbif,-62.23,-58.68,gbif
gbif,-67.55,-67,gbif
gbif,-62.58,-59.92,gbif
gbif,-62.13,-58.48,gbif
gbif,-62.12,-58.1,gbif
gbif,-62.08,-57.92,gbif
gbif,-62.07,-57.92,gbif
gbif,-62.07,-58.37,gbif
gbif,-62.08,-58.43,gbif
gbif,-62.22,-58.7,gbif
gbif,-62.22,-59.02,gbif
gbif,-60.7,-45.67,gbif
gbif,-64.77,-64.1,gbif
gbif,-68.2,-67.03,gbif
gbif,-60.72,-45.6,gbif
gbif,-60.7,-45.62,gbif
gbif,-60.68,-45.63,gbif
gbif,-65.25,-64.25,gbif
gbif,-65.18,-64.18,gbif
gbif,-65.25,-64.23,gbif
gbif,-64.82,-64.03,gbif
gbif,-60.72,-45.62,gbif
gbif,-62.75,-60.35,gbif
gbif,-62.65,-60.37,gbif
gbif,-62.67,-61.18,gbif
gbif,-62.63,-61.18,gbif
gbif,-62.68,-61.1,gbif
gbif,-64.15,-60.97,gbif
gbif,-54.32,-36.3,gbif
gbif,-54.33,-36.27,gbif
gbif,-54.22,-36.67,gbif
gbif,-54.2,-36.62,gbif
gbif,-46.1,50.23333,gbif
gbif,-49.47724,70.04754,gbif
gbif,-54.38,-36.3,gbif
gbif,-52.25,-60.63,gbif
gbif,-49.28028,69.68861,gbif
gbif,-46.41872,51.85673,gbif
gbif,-46.42253,51.85574,gbif
gbif,-57.05,-26.67,gbif
gbif,-65.43,-64.1,gbif
gbif,-65.42,-64.23,gbif
gbif,-65.32,-64.17,gbif
gbif,-65.27,-64.13,gbif
gbif,-65.23,-64.1,gbif
gbif,-67.73,-68.42,gbif
gbif,-64.7669,-64.0775,gbif
gbif,-64.23,-61.12,gbif
gbif,-62.7,-60.37,gbif
gbif,-62.2317,-58.67,gbif
gbif,-64.75,-64.65,gbif
gbif,-54.13,-36.68,gbif
gbif,-49.45833,69.83334,gbif
gbif,-60.72,-45.63,gbif
gbif,-64.77,-62.72,gbif
gbif,-64.28,-61.07,gbif
gbif,-63.85,-59.4,gbif
gbif,-46.42803,51.81155,gbif
gbif,-46.41139,51.75611,gbif
gbif,-46.42661,51.86236,gbif
gbif,-54.05,-37.35,gbif
