Species,Colony,Date nests counted,Number of nests,Date chicks counted,Number of chicks,Comments
Gentoo penguin,Lower Natural Arch,01-Dec-09,492,01-Mar-10,410,
Gentoo penguin,Upper Natural Arch,01-Dec-09,64,01-Mar-10,111,
Gentoo penguin,Lower Mountain Cwm,01-Dec-09,175,01-Mar-10,146,
Gentoo penguin,Johnson,30-Nov-09,709,02-Mar-10,407,
Gentoo penguin,Landing Beach,30-Nov-09,116,01-Mar-10,85,
Gentoo penguin,Square Pond,30-Nov-09,273,02-Mar-10,288,
Gentoo penguin,Upper Natural Arch,01-Nov-08,150,01-Feb-09,13,Colony empty: Chicks found in upper part of NA stream.
Gentoo penguin,Lower Natural Arch,01-Nov-08,1012,01-Feb-09,7,Chicks found on NA beach.
Gentoo penguin,Upper Mountain Cwm,01-Nov-08,350,01-Feb-09,13,Egg count - still a lots of nest without egg. Chick count - colony empty: chicks found on beach (not the same side as LMC).
Gentoo penguin,Landing Beach,01-Nov-08,260,01-Feb-09,0,
Gentoo penguin,Lower Mountain Cwm,01-Nov-08,395,01-Feb-09,5,
Gentoo penguin,Johnson,31-Oct-08,1286,01-Feb-09,2,
Gentoo penguin,Square Pond,31-Oct-08,642,01-Feb-09,0,
Gentoo penguin,Upper Natural Arch,10-Nov-07,153,08-Feb-08,140,
Gentoo penguin,Lower Natural Arch,10-Nov-07,1195,08-Feb-08,1070,
Gentoo penguin,Lower Mountain Cwm,10-Nov-07,495,08-Feb-08,290,during nest count: a lot of nests occupied by gentoos but without any eggs yet  // during chick count 11 nests still with brooded chicks
Gentoo penguin,Upper Mountain Cwm,10-Nov-07,343,08-Feb-08,396,during nest count: a lot of nests occupied by gentoos but without any eggs yet
Gentoo penguin,Landing Beach,10-Nov-07,124,08-Feb-08,118,"plus one nest with eggs on Fresh Water Beach, failed before hatching"
Gentoo penguin,Square Pond,09-Nov-07,542,07-Feb-08,637,
Gentoo penguin,Johnson,09-Nov-07,1128,07-Feb-08,1325,chick count under bad weather (wind and very wet snow)
Gentoo penguin,Lower Natural Arch,01-Nov-06,1277,30-Jan-07,1507,
Gentoo penguin,Upper Mountain Cwm,01-Nov-06,346,30-Jan-07,510,
Gentoo penguin,Lower Mountain Cwm,01-Nov-06,514,30-Jan-07,457,
Gentoo penguin,Landing Beach,01-Nov-06,135,28-Jan-07,156,
Gentoo penguin,Johnson,01-Nov-06,1063,28-Jan-07,993,
Gentoo penguin,Upper Natural Arch,01-Nov-06,162,30-Jan-07,199,
Gentoo penguin,Square Pond,29-Oct-06,538,28-Jan-07,685,
