Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1956,0.2,1.1,0.8,-0.1,0.3,-0.6,-6.0,-4.1,-5.1,-2.4,-0.6,-0.6
1957,0.6,1.6,1.5,-0.2,-3.2,-11.8,-8.9,-10.5,-3.4,-5.5,-1,-0.9
1958,0.5,-0.7,-1.2,-2.8,-14.8,-12.0,-15.1,-9.1,-4.2,-1.3,0.2,-0.2
1959,0.5,0.1,-0.3,-5.5,-6.4,-11.2,-17.7,-13.2,-6.8,-3.1,-1.5,-0.1
1960,0.5,1.6,1.5,-1.7,-4.3,-7.9,-10.9,-7.0,-3.6,-2.2,-1.5,0.4
1961,1.1,0.4,-0.3,-1.9,-4.5,-9.9,-11.5,-12.7,-8.5,-2.3,-1.4,-0.2
1962,1.1,1.0,-0.3,-0.4,-5.0,-3.1,-8.3,-6.4,-2.0,-0.3,-1.3,0.5
1963,1.5,1.6,-0.3,-2.0,-3.2,-7.0,-7.0,-10.1,-6.7,-7,-2.3,0.1
1964,0.5,0.6,-0.5,-5.1,-4.9,-7.8,-11.5,-13.8,-4.7,-0.7,-0.9,0.2
1965,1.3,1.7,1.7,-1.1,-1.1,-4.4,-9.4,-11.1,-5.0,-4.9,-1.3,-1.4
1966,-0.2,-1.0,-0.6,-3.4,-9.3,-10.2,-11.6,-6.9,-5.7,-3.6,-3.1,-0.7
1967,0.2,0.5,0.9,-1.8,-8.4,-10.0,-5.6,-8.2,-8.2,-4.8,-1.6,-0.5
1968,0.7,0.9,-0.5,-1.9,-6.6,-9.6,-6.7,-6.1,-4.2,-1.1,-0.9,0.3
1969,1.4,1.3,-1.5,-2.8,-8.2,-10.2,-9.6,-9.7,-3.2,-3.4,-1.2,0.1
1970,-0.4,0.3,-2.4,-3.2,-6.0,-9.7,-7.1,-7.1,-2.0,-1.5,-0.6,0.3
1971,0.9,0.9,0.5,-1.9,-8.8,-6.0,-9.6,-6.2,-6.0,-2.1,-0.7,-1.7
1972,-0.3,-0.4,-1.0,-2.3,-5.4,-13.7,-9.7,-15.4,-5.4,-4.5,-3.1,0.4
1973,-1.0,0.2,0.4,-3.8,-10.8,-13.1,-9.7,-8.3,-8.1,-1.4,-1.4,0.4
1974,1.2,1.8,1.4,-2.6,-7.4,-9.7,-9.7,-11.7,-6.6,-2.4,-1.0,-0.1
1975,0.8,1.9,-0.6,-1.7,-7.4,-14.4,-12.7,-13.2,-8.1,-0.8,-1.5,0.8
